city,time,pm2_5,pm10,ozone
bengaluru,2025-12-11 00:00:00,29.5,30.4,92
bengaluru,2025-12-11 01:00:00,29.0,29.7,86
bengaluru,2025-12-11 02:00:00,30.2,30.7,79
bengaluru,2025-12-11 03:00:00,27.1,27.4,82
bengaluru,2025-12-11 04:00:00,21.7,22.0,105
bengaluru,2025-12-11 05:00:00,18.5,18.9,139
bengaluru,2025-12-11 06:00:00,16.8,17.2,163
bengaluru,2025-12-11 07:00:00,16.3,16.6,171
bengaluru,2025-12-11 08:00:00,15.7,16.0,169
bengaluru,2025-12-11 09:00:00,15.0,15.3,163
bengaluru,2025-12-11 10:00:00,14.6,15.0,152
bengaluru,2025-12-11 11:00:00,14.6,15.0,136
bengaluru,2025-12-11 12:00:00,18.1,18.4,119
bengaluru,2025-12-11 13:00:00,24.0,24.3,102
bengaluru,2025-12-11 14:00:00,27.8,28.2,84
bengaluru,2025-12-11 15:00:00,30.3,30.7,72
bengaluru,2025-12-11 16:00:00,32.5,32.9,68
bengaluru,2025-12-11 17:00:00,34.9,35.5,68
bengaluru,2025-12-11 18:00:00,36.6,37.3,70
bengaluru,2025-12-11 19:00:00,36.8,37.6,72
bengaluru,2025-12-11 20:00:00,37.0,38.0,74
bengaluru,2025-12-11 21:00:00,37.4,38.4,77
bengaluru,2025-12-11 22:00:00,37.1,38.3,80
bengaluru,2025-12-11 23:00:00,36.9,38.2,82
bengaluru,2025-12-12 00:00:00,37.0,38.5,83
bengaluru,2025-12-12 01:00:00,40.5,42.1,77
bengaluru,2025-12-12 02:00:00,48.8,50.4,69
bengaluru,2025-12-12 03:00:00,42.0,43.1,72
bengaluru,2025-12-12 04:00:00,24.4,25.7,96
bengaluru,2025-12-12 05:00:00,19.5,20.8,131
bengaluru,2025-12-12 06:00:00,18.2,19.8,157
bengaluru,2025-12-12 07:00:00,18.1,20.0,168
bengaluru,2025-12-12 08:00:00,18.1,20.1,171
bengaluru,2025-12-12 09:00:00,18.2,20.3,169
bengaluru,2025-12-12 10:00:00,18.6,20.7,160
bengaluru,2025-12-12 11:00:00,19.3,21.3,146
bengaluru,2025-12-12 12:00:00,23.9,25.6,130
bengaluru,2025-12-12 13:00:00,30.6,32.4,112
bengaluru,2025-12-12 14:00:00,35.4,37.3,93
bengaluru,2025-12-12 15:00:00,38.9,40.7,79
bengaluru,2025-12-12 16:00:00,41.4,43.5,74
bengaluru,2025-12-12 17:00:00,44.6,46.9,74
bengaluru,2025-12-12 18:00:00,46.7,49.1,76
bengaluru,2025-12-12 19:00:00,46.7,49.4,79
bengaluru,2025-12-12 20:00:00,47.0,49.8,83
bengaluru,2025-12-12 21:00:00,47.6,50.5,87
bengaluru,2025-12-12 22:00:00,48.3,51.5,91
bengaluru,2025-12-12 23:00:00,49.1,52.4,94
bengaluru,2025-12-13 00:00:00,49.7,53.2,95
bengaluru,2025-12-13 01:00:00,52.9,56.5,90
bengaluru,2025-12-13 02:00:00,61.0,64.7,84
bengaluru,2025-12-13 03:00:00,56.5,59.1,86
bengaluru,2025-12-13 04:00:00,31.5,34.3,107
bengaluru,2025-12-13 05:00:00,24.4,26.8,136
bengaluru,2025-12-13 06:00:00,22.8,24.7,159
bengaluru,2025-12-13 07:00:00,23.0,24.7,169
bengaluru,2025-12-13 08:00:00,23.1,24.9,172
bengaluru,2025-12-13 09:00:00,23.1,24.8,170
bengaluru,2025-12-13 10:00:00,22.9,24.7,161
bengaluru,2025-12-13 11:00:00,23.2,24.9,145
bengaluru,2025-12-13 12:00:00,27.8,29.2,129
bengaluru,2025-12-13 13:00:00,34.1,35.5,110
bengaluru,2025-12-13 14:00:00,38.0,39.2,91
bengaluru,2025-12-13 15:00:00,39.8,41.2,77
bengaluru,2025-12-13 16:00:00,41.2,42.6,74
bengaluru,2025-12-13 17:00:00,42.6,44.0,77
bengaluru,2025-12-13 18:00:00,42.7,44.2,82
bengaluru,2025-12-13 19:00:00,42.1,43.7,88
bengaluru,2025-12-13 20:00:00,42.1,43.7,96
bengaluru,2025-12-13 21:00:00,42.8,44.4,102
bengaluru,2025-12-13 22:00:00,43.5,45.2,107
bengaluru,2025-12-13 23:00:00,44.4,45.9,111
bengaluru,2025-12-14 00:00:00,45.8,47.4,112
bengaluru,2025-12-14 01:00:00,50.1,51.6,108
bengaluru,2025-12-14 02:00:00,59.8,61.2,101
bengaluru,2025-12-14 03:00:00,52.7,53.8,102
bengaluru,2025-12-14 04:00:00,34.7,36.0,119
bengaluru,2025-12-14 05:00:00,31.5,32.9,143
bengaluru,2025-12-14 06:00:00,27.9,29.3,161
bengaluru,2025-12-14 07:00:00,26.6,28.0,168
bengaluru,2025-12-14 08:00:00,26.1,27.7,170
bengaluru,2025-12-14 09:00:00,26.0,27.6,166
bengaluru,2025-12-14 10:00:00,25.7,27.5,157
bengaluru,2025-12-14 11:00:00,26.0,27.8,142
bengaluru,2025-12-14 12:00:00,31.2,32.6,126
bengaluru,2025-12-14 13:00:00,38.1,39.6,107
bengaluru,2025-12-14 14:00:00,42.5,43.9,86
bengaluru,2025-12-14 15:00:00,45.6,47.0,72
bengaluru,2025-12-14 16:00:00,48.3,49.7,68
bengaluru,2025-12-14 17:00:00,49.9,51.3,71
bengaluru,2025-12-14 18:00:00,50.3,51.8,75
bengaluru,2025-12-14 19:00:00,49.9,51.5,80
bengaluru,2025-12-14 20:00:00,50.3,51.9,87
bengaluru,2025-12-14 21:00:00,51.0,52.7,93
bengaluru,2025-12-14 22:00:00,51.8,53.6,98
bengaluru,2025-12-14 23:00:00,52.6,54.4,102
bengaluru,2025-12-15 00:00:00,54.4,56.1,104
bengaluru,2025-12-15 01:00:00,59.3,61.0,101
bengaluru,2025-12-15 02:00:00,69.6,71.5,97
bengaluru,2025-12-15 03:00:00,58.0,59.1,101
bengaluru,2025-12-15 04:00:00,41.6,43.0,121
bengaluru,2025-12-15 05:00:00,36.9,38.3,148
bengaluru,2025-12-15 06:00:00,33.9,35.4,168
bengaluru,2025-12-15 07:00:00,32.6,34.2,174
bengaluru,2025-12-15 08:00:00,32.4,34.0,172
bengaluru,2025-12-15 09:00:00,32.2,34.0,167
bengaluru,2025-12-15 10:00:00,32.5,34.2,156
bengaluru,2025-12-15 11:00:00,33.3,35.0,142
bengaluru,2025-12-15 12:00:00,37.1,38.5,131
delhi,2025-12-11 00:00:00,29.5,30.4,92
delhi,2025-12-11 01:00:00,29.0,29.7,86
delhi,2025-12-11 02:00:00,30.2,30.7,79
delhi,2025-12-11 03:00:00,27.1,27.4,82
delhi,2025-12-11 04:00:00,21.7,22.0,105
delhi,2025-12-11 05:00:00,18.5,18.9,139
delhi,2025-12-11 06:00:00,16.8,17.2,163
delhi,2025-12-11 07:00:00,16.3,16.6,171
delhi,2025-12-11 08:00:00,15.7,16.0,169
delhi,2025-12-11 09:00:00,15.0,15.3,163
delhi,2025-12-11 10:00:00,14.6,15.0,152
delhi,2025-12-11 11:00:00,14.6,15.0,136
delhi,2025-12-11 12:00:00,18.1,18.4,119
delhi,2025-12-11 13:00:00,24.0,24.3,102
delhi,2025-12-11 14:00:00,27.8,28.2,84
delhi,2025-12-11 15:00:00,30.3,30.7,72
delhi,2025-12-11 16:00:00,32.5,32.9,68
delhi,2025-12-11 17:00:00,34.9,35.5,68
delhi,2025-12-11 18:00:00,36.6,37.3,70
delhi,2025-12-11 19:00:00,36.8,37.6,72
delhi,2025-12-11 20:00:00,37.0,38.0,74
delhi,2025-12-11 21:00:00,37.4,38.4,77
delhi,2025-12-11 22:00:00,37.1,38.3,80
delhi,2025-12-11 23:00:00,36.9,38.2,82
delhi,2025-12-12 00:00:00,37.0,38.5,83
delhi,2025-12-12 01:00:00,40.5,42.1,77
delhi,2025-12-12 02:00:00,48.8,50.4,69
delhi,2025-12-12 03:00:00,42.0,43.1,72
delhi,2025-12-12 04:00:00,24.4,25.7,96
delhi,2025-12-12 05:00:00,19.5,20.8,131
delhi,2025-12-12 06:00:00,18.2,19.8,157
delhi,2025-12-12 07:00:00,18.1,20.0,168
delhi,2025-12-12 08:00:00,18.1,20.1,171
delhi,2025-12-12 09:00:00,18.2,20.3,169
delhi,2025-12-12 10:00:00,18.6,20.7,160
delhi,2025-12-12 11:00:00,19.3,21.3,146
delhi,2025-12-12 12:00:00,23.9,25.6,130
delhi,2025-12-12 13:00:00,30.6,32.4,112
delhi,2025-12-12 14:00:00,35.4,37.3,93
delhi,2025-12-12 15:00:00,38.9,40.7,79
delhi,2025-12-12 16:00:00,41.4,43.5,74
delhi,2025-12-12 17:00:00,44.6,46.9,74
delhi,2025-12-12 18:00:00,46.7,49.1,76
delhi,2025-12-12 19:00:00,46.7,49.4,79
delhi,2025-12-12 20:00:00,47.0,49.8,83
delhi,2025-12-12 21:00:00,47.6,50.5,87
delhi,2025-12-12 22:00:00,48.3,51.5,91
delhi,2025-12-12 23:00:00,49.1,52.4,94
delhi,2025-12-13 00:00:00,49.7,53.2,95
delhi,2025-12-13 01:00:00,52.9,56.5,90
delhi,2025-12-13 02:00:00,61.0,64.7,84
delhi,2025-12-13 03:00:00,56.5,59.1,86
delhi,2025-12-13 04:00:00,31.5,34.3,107
delhi,2025-12-13 05:00:00,24.4,26.8,136
delhi,2025-12-13 06:00:00,22.8,24.7,159
delhi,2025-12-13 07:00:00,23.0,24.7,169
delhi,2025-12-13 08:00:00,23.1,24.9,172
delhi,2025-12-13 09:00:00,23.1,24.8,170
delhi,2025-12-13 10:00:00,22.9,24.7,161
delhi,2025-12-13 11:00:00,23.2,24.9,145
delhi,2025-12-13 12:00:00,27.8,29.2,129
delhi,2025-12-13 13:00:00,34.1,35.5,110
delhi,2025-12-13 14:00:00,38.0,39.2,91
delhi,2025-12-13 15:00:00,39.8,41.2,77
delhi,2025-12-13 16:00:00,41.2,42.6,74
delhi,2025-12-13 17:00:00,42.6,44.0,77
delhi,2025-12-13 18:00:00,42.7,44.2,82
delhi,2025-12-13 19:00:00,42.1,43.7,88
delhi,2025-12-13 20:00:00,42.1,43.7,96
delhi,2025-12-13 21:00:00,42.8,44.4,102
delhi,2025-12-13 22:00:00,43.5,45.2,107
delhi,2025-12-13 23:00:00,44.4,45.9,111
delhi,2025-12-14 00:00:00,45.8,47.4,112
delhi,2025-12-14 01:00:00,50.1,51.6,108
delhi,2025-12-14 02:00:00,59.8,61.2,101
delhi,2025-12-14 03:00:00,52.7,53.8,102
delhi,2025-12-14 04:00:00,34.7,36.0,119
delhi,2025-12-14 05:00:00,31.5,32.9,143
delhi,2025-12-14 06:00:00,27.9,29.3,161
delhi,2025-12-14 07:00:00,26.6,28.0,168
delhi,2025-12-14 08:00:00,26.1,27.7,170
delhi,2025-12-14 09:00:00,26.0,27.6,166
delhi,2025-12-14 10:00:00,25.7,27.5,157
delhi,2025-12-14 11:00:00,26.0,27.8,142
delhi,2025-12-14 12:00:00,31.2,32.6,126
delhi,2025-12-14 13:00:00,38.1,39.6,107
delhi,2025-12-14 14:00:00,42.5,43.9,86
delhi,2025-12-14 15:00:00,45.6,47.0,72
delhi,2025-12-14 16:00:00,48.3,49.7,68
delhi,2025-12-14 17:00:00,49.9,51.3,71
delhi,2025-12-14 18:00:00,50.3,51.8,75
delhi,2025-12-14 19:00:00,49.9,51.5,80
delhi,2025-12-14 20:00:00,50.3,51.9,87
delhi,2025-12-14 21:00:00,51.0,52.7,93
delhi,2025-12-14 22:00:00,51.8,53.6,98
delhi,2025-12-14 23:00:00,52.6,54.4,102
delhi,2025-12-15 00:00:00,54.4,56.1,104
delhi,2025-12-15 01:00:00,59.3,61.0,101
delhi,2025-12-15 02:00:00,69.6,71.5,97
delhi,2025-12-15 03:00:00,58.0,59.1,101
delhi,2025-12-15 04:00:00,41.6,43.0,121
delhi,2025-12-15 05:00:00,36.9,38.3,148
delhi,2025-12-15 06:00:00,33.9,35.4,168
delhi,2025-12-15 07:00:00,32.6,34.2,174
delhi,2025-12-15 08:00:00,32.4,34.0,172
delhi,2025-12-15 09:00:00,32.2,34.0,167
delhi,2025-12-15 10:00:00,32.5,34.2,156
delhi,2025-12-15 11:00:00,33.3,35.0,142
delhi,2025-12-15 12:00:00,37.1,38.5,131
hyderabad,2025-12-11 00:00:00,29.5,30.4,92
hyderabad,2025-12-11 01:00:00,29.0,29.7,86
hyderabad,2025-12-11 02:00:00,30.2,30.7,79
hyderabad,2025-12-11 03:00:00,27.1,27.4,82
hyderabad,2025-12-11 04:00:00,21.7,22.0,105
hyderabad,2025-12-11 05:00:00,18.5,18.9,139
hyderabad,2025-12-11 06:00:00,16.8,17.2,163
hyderabad,2025-12-11 07:00:00,16.3,16.6,171
hyderabad,2025-12-11 08:00:00,15.7,16.0,169
hyderabad,2025-12-11 09:00:00,15.0,15.3,163
hyderabad,2025-12-11 10:00:00,14.6,15.0,152
hyderabad,2025-12-11 11:00:00,14.6,15.0,136
hyderabad,2025-12-11 12:00:00,18.1,18.4,119
hyderabad,2025-12-11 13:00:00,24.0,24.3,102
hyderabad,2025-12-11 14:00:00,27.8,28.2,84
hyderabad,2025-12-11 15:00:00,30.3,30.7,72
hyderabad,2025-12-11 16:00:00,32.5,32.9,68
hyderabad,2025-12-11 17:00:00,34.9,35.5,68
hyderabad,2025-12-11 18:00:00,36.6,37.3,70
hyderabad,2025-12-11 19:00:00,36.8,37.6,72
hyderabad,2025-12-11 20:00:00,37.0,38.0,74
hyderabad,2025-12-11 21:00:00,37.4,38.4,77
hyderabad,2025-12-11 22:00:00,37.1,38.3,80
hyderabad,2025-12-11 23:00:00,36.9,38.2,82
hyderabad,2025-12-12 00:00:00,37.0,38.5,83
hyderabad,2025-12-12 01:00:00,40.5,42.1,77
hyderabad,2025-12-12 02:00:00,48.8,50.4,69
hyderabad,2025-12-12 03:00:00,42.0,43.1,72
hyderabad,2025-12-12 04:00:00,24.4,25.7,96
hyderabad,2025-12-12 05:00:00,19.5,20.8,131
hyderabad,2025-12-12 06:00:00,18.2,19.8,157
hyderabad,2025-12-12 07:00:00,18.1,20.0,168
hyderabad,2025-12-12 08:00:00,18.1,20.1,171
hyderabad,2025-12-12 09:00:00,18.2,20.3,169
hyderabad,2025-12-12 10:00:00,18.6,20.7,160
hyderabad,2025-12-12 11:00:00,19.3,21.3,146
hyderabad,2025-12-12 12:00:00,23.9,25.6,130
hyderabad,2025-12-12 13:00:00,30.6,32.4,112
hyderabad,2025-12-12 14:00:00,35.4,37.3,93
hyderabad,2025-12-12 15:00:00,38.9,40.7,79
hyderabad,2025-12-12 16:00:00,41.4,43.5,74
hyderabad,2025-12-12 17:00:00,44.6,46.9,74
hyderabad,2025-12-12 18:00:00,46.7,49.1,76
hyderabad,2025-12-12 19:00:00,46.7,49.4,79
hyderabad,2025-12-12 20:00:00,47.0,49.8,83
hyderabad,2025-12-12 21:00:00,47.6,50.5,87
hyderabad,2025-12-12 22:00:00,48.3,51.5,91
hyderabad,2025-12-12 23:00:00,49.1,52.4,94
hyderabad,2025-12-13 00:00:00,49.7,53.2,95
hyderabad,2025-12-13 01:00:00,52.9,56.5,90
hyderabad,2025-12-13 02:00:00,61.0,64.7,84
hyderabad,2025-12-13 03:00:00,56.5,59.1,86
hyderabad,2025-12-13 04:00:00,31.5,34.3,107
