city,time,pm2_5,pm10,ozone
hyderabad,2025-12-13 05:00:00,24.4,26.8,136
hyderabad,2025-12-13 06:00:00,22.8,24.7,159
hyderabad,2025-12-13 07:00:00,23.0,24.7,169
hyderabad,2025-12-13 08:00:00,23.1,24.9,172
hyderabad,2025-12-13 09:00:00,23.1,24.8,170
hyderabad,2025-12-13 10:00:00,22.9,24.7,161
hyderabad,2025-12-13 11:00:00,23.2,24.9,145
hyderabad,2025-12-13 12:00:00,27.8,29.2,129
hyderabad,2025-12-13 13:00:00,34.1,35.5,110
hyderabad,2025-12-13 14:00:00,38.0,39.2,91
hyderabad,2025-12-13 15:00:00,39.8,41.2,77
hyderabad,2025-12-13 16:00:00,41.2,42.6,74
hyderabad,2025-12-13 17:00:00,42.6,44.0,77
hyderabad,2025-12-13 18:00:00,42.7,44.2,82
hyderabad,2025-12-13 19:00:00,42.1,43.7,88
hyderabad,2025-12-13 20:00:00,42.1,43.7,96
hyderabad,2025-12-13 21:00:00,42.8,44.4,102
hyderabad,2025-12-13 22:00:00,43.5,45.2,107
hyderabad,2025-12-13 23:00:00,44.4,45.9,111
hyderabad,2025-12-14 00:00:00,45.8,47.4,112
hyderabad,2025-12-14 01:00:00,50.1,51.6,108
hyderabad,2025-12-14 02:00:00,59.8,61.2,101
hyderabad,2025-12-14 03:00:00,52.7,53.8,102
hyderabad,2025-12-14 04:00:00,34.7,36.0,119
hyderabad,2025-12-14 05:00:00,31.5,32.9,143
hyderabad,2025-12-14 06:00:00,27.9,29.3,161
hyderabad,2025-12-14 07:00:00,26.6,28.0,168
hyderabad,2025-12-14 08:00:00,26.1,27.7,170
hyderabad,2025-12-14 09:00:00,26.0,27.6,166
hyderabad,2025-12-14 10:00:00,25.7,27.5,157
hyderabad,2025-12-14 11:00:00,26.0,27.8,142
hyderabad,2025-12-14 12:00:00,31.2,32.6,126
hyderabad,2025-12-14 13:00:00,38.1,39.6,107
hyderabad,2025-12-14 14:00:00,42.5,43.9,86
hyderabad,2025-12-14 15:00:00,45.6,47.0,72
hyderabad,2025-12-14 16:00:00,48.3,49.7,68
hyderabad,2025-12-14 17:00:00,49.9,51.3,71
hyderabad,2025-12-14 18:00:00,50.3,51.8,75
hyderabad,2025-12-14 19:00:00,49.9,51.5,80
hyderabad,2025-12-14 20:00:00,50.3,51.9,87
hyderabad,2025-12-14 21:00:00,51.0,52.7,93
hyderabad,2025-12-14 22:00:00,51.8,53.6,98
hyderabad,2025-12-14 23:00:00,52.6,54.4,102
hyderabad,2025-12-15 00:00:00,54.4,56.1,104
hyderabad,2025-12-15 01:00:00,59.3,61.0,101
hyderabad,2025-12-15 02:00:00,69.6,71.5,97
hyderabad,2025-12-15 03:00:00,58.0,59.1,101
hyderabad,2025-12-15 04:00:00,41.6,43.0,121
hyderabad,2025-12-15 05:00:00,36.9,38.3,148
hyderabad,2025-12-15 06:00:00,33.9,35.4,168
hyderabad,2025-12-15 07:00:00,32.6,34.2,174
hyderabad,2025-12-15 08:00:00,32.4,34.0,172
hyderabad,2025-12-15 09:00:00,32.2,34.0,167
hyderabad,2025-12-15 10:00:00,32.5,34.2,156
hyderabad,2025-12-15 11:00:00,33.3,35.0,142
hyderabad,2025-12-15 12:00:00,37.1,38.5,131
kolkata,2025-12-11 00:00:00,29.5,30.4,92
kolkata,2025-12-11 01:00:00,29.0,29.7,86
kolkata,2025-12-11 02:00:00,30.2,30.7,79
kolkata,2025-12-11 03:00:00,27.1,27.4,82
kolkata,2025-12-11 04:00:00,21.7,22.0,105
kolkata,2025-12-11 05:00:00,18.5,18.9,139
kolkata,2025-12-11 06:00:00,16.8,17.2,163
kolkata,2025-12-11 07:00:00,16.3,16.6,171
kolkata,2025-12-11 08:00:00,15.7,16.0,169
kolkata,2025-12-11 09:00:00,15.0,15.3,163
kolkata,2025-12-11 10:00:00,14.6,15.0,152
kolkata,2025-12-11 11:00:00,14.6,15.0,136
kolkata,2025-12-11 12:00:00,18.1,18.4,119
kolkata,2025-12-11 13:00:00,24.0,24.3,102
kolkata,2025-12-11 14:00:00,27.8,28.2,84
kolkata,2025-12-11 15:00:00,30.3,30.7,72
kolkata,2025-12-11 16:00:00,32.5,32.9,68
kolkata,2025-12-11 17:00:00,34.9,35.5,68
kolkata,2025-12-11 18:00:00,36.6,37.3,70
kolkata,2025-12-11 19:00:00,36.8,37.6,72
kolkata,2025-12-11 20:00:00,37.0,38.0,74
kolkata,2025-12-11 21:00:00,37.4,38.4,77
kolkata,2025-12-11 22:00:00,37.1,38.3,80
kolkata,2025-12-11 23:00:00,36.9,38.2,82
kolkata,2025-12-12 00:00:00,37.0,38.5,83
kolkata,2025-12-12 01:00:00,40.5,42.1,77
kolkata,2025-12-12 02:00:00,48.8,50.4,69
kolkata,2025-12-12 03:00:00,42.0,43.1,72
kolkata,2025-12-12 04:00:00,24.4,25.7,96
kolkata,2025-12-12 05:00:00,19.5,20.8,131
kolkata,2025-12-12 06:00:00,18.2,19.8,157
kolkata,2025-12-12 07:00:00,18.1,20.0,168
kolkata,2025-12-12 08:00:00,18.1,20.1,171
kolkata,2025-12-12 09:00:00,18.2,20.3,169
kolkata,2025-12-12 10:00:00,18.6,20.7,160
kolkata,2025-12-12 11:00:00,19.3,21.3,146
kolkata,2025-12-12 12:00:00,23.9,25.6,130
kolkata,2025-12-12 13:00:00,30.6,32.4,112
kolkata,2025-12-12 14:00:00,35.4,37.3,93
kolkata,2025-12-12 15:00:00,38.9,40.7,79
kolkata,2025-12-12 16:00:00,41.4,43.5,74
kolkata,2025-12-12 17:00:00,44.6,46.9,74
kolkata,2025-12-12 18:00:00,46.7,49.1,76
kolkata,2025-12-12 19:00:00,46.7,49.4,79
kolkata,2025-12-12 20:00:00,47.0,49.8,83
kolkata,2025-12-12 21:00:00,47.6,50.5,87
kolkata,2025-12-12 22:00:00,48.3,51.5,91
kolkata,2025-12-12 23:00:00,49.1,52.4,94
kolkata,2025-12-13 00:00:00,49.7,53.2,95
kolkata,2025-12-13 01:00:00,52.9,56.5,90
kolkata,2025-12-13 02:00:00,61.0,64.7,84
kolkata,2025-12-13 03:00:00,56.5,59.1,86
kolkata,2025-12-13 04:00:00,31.5,34.3,107
kolkata,2025-12-13 05:00:00,24.4,26.8,136
kolkata,2025-12-13 06:00:00,22.8,24.7,159
kolkata,2025-12-13 07:00:00,23.0,24.7,169
kolkata,2025-12-13 08:00:00,23.1,24.9,172
kolkata,2025-12-13 09:00:00,23.1,24.8,170
kolkata,2025-12-13 10:00:00,22.9,24.7,161
kolkata,2025-12-13 11:00:00,23.2,24.9,145
kolkata,2025-12-13 12:00:00,27.8,29.2,129
kolkata,2025-12-13 13:00:00,34.1,35.5,110
kolkata,2025-12-13 14:00:00,38.0,39.2,91
kolkata,2025-12-13 15:00:00,39.8,41.2,77
kolkata,2025-12-13 16:00:00,41.2,42.6,74
kolkata,2025-12-13 17:00:00,42.6,44.0,77
kolkata,2025-12-13 18:00:00,42.7,44.2,82
kolkata,2025-12-13 19:00:00,42.1,43.7,88
kolkata,2025-12-13 20:00:00,42.1,43.7,96
kolkata,2025-12-13 21:00:00,42.8,44.4,102
kolkata,2025-12-13 22:00:00,43.5,45.2,107
kolkata,2025-12-13 23:00:00,44.4,45.9,111
kolkata,2025-12-14 00:00:00,45.8,47.4,112
kolkata,2025-12-14 01:00:00,50.1,51.6,108
kolkata,2025-12-14 02:00:00,59.8,61.2,101
kolkata,2025-12-14 03:00:00,52.7,53.8,102
kolkata,2025-12-14 04:00:00,34.7,36.0,119
kolkata,2025-12-14 05:00:00,31.5,32.9,143
kolkata,2025-12-14 06:00:00,27.9,29.3,161
kolkata,2025-12-14 07:00:00,26.6,28.0,168
kolkata,2025-12-14 08:00:00,26.1,27.7,170
kolkata,2025-12-14 09:00:00,26.0,27.6,166
kolkata,2025-12-14 10:00:00,25.7,27.5,157
kolkata,2025-12-14 11:00:00,26.0,27.8,142
kolkata,2025-12-14 12:00:00,31.2,32.6,126
kolkata,2025-12-14 13:00:00,38.1,39.6,107
kolkata,2025-12-14 14:00:00,42.5,43.9,86
kolkata,2025-12-14 15:00:00,45.6,47.0,72
kolkata,2025-12-14 16:00:00,48.3,49.7,68
kolkata,2025-12-14 17:00:00,49.9,51.3,71
kolkata,2025-12-14 18:00:00,50.3,51.8,75
kolkata,2025-12-14 19:00:00,49.9,51.5,80
kolkata,2025-12-14 20:00:00,50.3,51.9,87
kolkata,2025-12-14 21:00:00,51.0,52.7,93
kolkata,2025-12-14 22:00:00,51.8,53.6,98
kolkata,2025-12-14 23:00:00,52.6,54.4,102
kolkata,2025-12-15 00:00:00,54.4,56.1,104
kolkata,2025-12-15 01:00:00,59.3,61.0,101
kolkata,2025-12-15 02:00:00,69.6,71.5,97
kolkata,2025-12-15 03:00:00,58.0,59.1,101
kolkata,2025-12-15 04:00:00,41.6,43.0,121
kolkata,2025-12-15 05:00:00,36.9,38.3,148
kolkata,2025-12-15 06:00:00,33.9,35.4,168
kolkata,2025-12-15 07:00:00,32.6,34.2,174
kolkata,2025-12-15 08:00:00,32.4,34.0,172
kolkata,2025-12-15 09:00:00,32.2,34.0,167
kolkata,2025-12-15 10:00:00,32.5,34.2,156
kolkata,2025-12-15 11:00:00,33.3,35.0,142
kolkata,2025-12-15 12:00:00,37.1,38.5,131
mumbai,2025-12-11 00:00:00,29.5,30.4,92
mumbai,2025-12-11 01:00:00,29.0,29.7,86
mumbai,2025-12-11 02:00:00,30.2,30.7,79
mumbai,2025-12-11 03:00:00,27.1,27.4,82
mumbai,2025-12-11 04:00:00,21.7,22.0,105
mumbai,2025-12-11 05:00:00,18.5,18.9,139
mumbai,2025-12-11 06:00:00,16.8,17.2,163
mumbai,2025-12-11 07:00:00,16.3,16.6,171
mumbai,2025-12-11 08:00:00,15.7,16.0,169
mumbai,2025-12-11 09:00:00,15.0,15.3,163
mumbai,2025-12-11 10:00:00,14.6,15.0,152
mumbai,2025-12-11 11:00:00,14.6,15.0,136
mumbai,2025-12-11 12:00:00,18.1,18.4,119
mumbai,2025-12-11 13:00:00,24.0,24.3,102
mumbai,2025-12-11 14:00:00,27.8,28.2,84
mumbai,2025-12-11 15:00:00,30.3,30.7,72
mumbai,2025-12-11 16:00:00,32.5,32.9,68
mumbai,2025-12-11 17:00:00,34.9,35.5,68
mumbai,2025-12-11 18:00:00,36.6,37.3,70
mumbai,2025-12-11 19:00:00,36.8,37.6,72
mumbai,2025-12-11 20:00:00,37.0,38.0,74
mumbai,2025-12-11 21:00:00,37.4,38.4,77
mumbai,2025-12-11 22:00:00,37.1,38.3,80
mumbai,2025-12-11 23:00:00,36.9,38.2,82
mumbai,2025-12-12 00:00:00,37.0,38.5,83
mumbai,2025-12-12 01:00:00,40.5,42.1,77
mumbai,2025-12-12 02:00:00,48.8,50.4,69
mumbai,2025-12-12 03:00:00,42.0,43.1,72
mumbai,2025-12-12 04:00:00,24.4,25.7,96
mumbai,2025-12-12 05:00:00,19.5,20.8,131
mumbai,2025-12-12 06:00:00,18.2,19.8,157
mumbai,2025-12-12 07:00:00,18.1,20.0,168
mumbai,2025-12-12 08:00:00,18.1,20.1,171
mumbai,2025-12-12 09:00:00,18.2,20.3,169
mumbai,2025-12-12 10:00:00,18.6,20.7,160
mumbai,2025-12-12 11:00:00,19.3,21.3,146
mumbai,2025-12-12 12:00:00,23.9,25.6,130
mumbai,2025-12-12 13:00:00,30.6,32.4,112
mumbai,2025-12-12 14:00:00,35.4,37.3,93
mumbai,2025-12-12 15:00:00,38.9,40.7,79
mumbai,2025-12-12 16:00:00,41.4,43.5,74
mumbai,2025-12-12 17:00:00,44.6,46.9,74
mumbai,2025-12-12 18:00:00,46.7,49.1,76
mumbai,2025-12-12 19:00:00,46.7,49.4,79
mumbai,2025-12-12 20:00:00,47.0,49.8,83
mumbai,2025-12-12 21:00:00,47.6,50.5,87
mumbai,2025-12-12 22:00:00,48.3,51.5,91
mumbai,2025-12-12 23:00:00,49.1,52.4,94
mumbai,2025-12-13 00:00:00,49.7,53.2,95
mumbai,2025-12-13 01:00:00,52.9,56.5,90
mumbai,2025-12-13 02:00:00,61.0,64.7,84
mumbai,2025-12-13 03:00:00,56.5,59.1,86
mumbai,2025-12-13 04:00:00,31.5,34.3,107
mumbai,2025-12-13 05:00:00,24.4,26.8,136
mumbai,2025-12-13 06:00:00,22.8,24.7,159
mumbai,2025-12-13 07:00:00,23.0,24.7,169
mumbai,2025-12-13 08:00:00,23.1,24.9,172
mumbai,2025-12-13 09:00:00,23.1,24.8,170
mumbai,2025-12-13 10:00:00,22.9,24.7,161
mumbai,2025-12-13 11:00:00,23.2,24.9,145
mumbai,2025-12-13 12:00:00,27.8,29.2,129
mumbai,2025-12-13 13:00:00,34.1,35.5,110
mumbai,2025-12-13 14:00:00,38.0,39.2,91
mumbai,2025-12-13 15:00:00,39.8,41.2,77
mumbai,2025-12-13 16:00:00,41.2,42.6,74
mumbai,2025-12-13 17:00:00,42.6,44.0,77
mumbai,2025-12-13 18:00:00,42.7,44.2,82
mumbai,2025-12-13 19:00:00,42.1,43.7,88
mumbai,2025-12-13 20:00:00,42.1,43.7,96
mumbai,2025-12-13 21:00:00,42.8,44.4,102
mumbai,2025-12-13 22:00:00,43.5,45.2,107
mumbai,2025-12-13 23:00:00,44.4,45.9,111
mumbai,2025-12-14 00:00:00,45.8,47.4,112
mumbai,2025-12-14 01:00:00,50.1,51.6,108
mumbai,2025-12-14 02:00:00,59.8,61.2,101
mumbai,2025-12-14 03:00:00,52.7,53.8,102
mumbai,2025-12-14 04:00:00,34.7,36.0,119
mumbai,2025-12-14 05:00:00,31.5,32.9,143
mumbai,2025-12-14 06:00:00,27.9,29.3,161
mumbai,2025-12-14 07:00:00,26.6,28.0,168
mumbai,2025-12-14 08:00:00,26.1,27.7,170
mumbai,2025-12-14 09:00:00,26.0,27.6,166
mumbai,2025-12-14 10:00:00,25.7,27.5,157
mumbai,2025-12-14 11:00:00,26.0,27.8,142
mumbai,2025-12-14 12:00:00,31.2,32.6,126
mumbai,2025-12-14 13:00:00,38.1,39.6,107
mumbai,2025-12-14 14:00:00,42.5,43.9,86
mumbai,2025-12-14 15:00:00,45.6,47.0,72
mumbai,2025-12-14 16:00:00,48.3,49.7,68
mumbai,2025-12-14 17:00:00,49.9,51.3,71
mumbai,2025-12-14 18:00:00,50.3,51.8,75
mumbai,2025-12-14 19:00:00,49.9,51.5,80
mumbai,2025-12-14 20:00:00,50.3,51.9,87
mumbai,2025-12-14 21:00:00,51.0,52.7,93
mumbai,2025-12-14 22:00:00,51.8,53.6,98
mumbai,2025-12-14 23:00:00,52.6,54.4,102
mumbai,2025-12-15 00:00:00,54.4,56.1,104
mumbai,2025-12-15 01:00:00,59.3,61.0,101
mumbai,2025-12-15 02:00:00,69.6,71.5,97
mumbai,2025-12-15 03:00:00,58.0,59.1,101
mumbai,2025-12-15 04:00:00,41.6,43.0,121
mumbai,2025-12-15 05:00:00,36.9,38.3,148
mumbai,2025-12-15 06:00:00,33.9,35.4,168
mumbai,2025-12-15 07:00:00,32.6,34.2,174
mumbai,2025-12-15 08:00:00,32.4,34.0,172
mumbai,2025-12-15 09:00:00,32.2,34.0,167
mumbai,2025-12-15 10:00:00,32.5,34.2,156
mumbai,2025-12-15 11:00:00,33.3,35.0,142
mumbai,2025-12-15 12:00:00,37.1,38.5,131
